"HolderAddress","Balance","PendingBalanceUpdate"
"0x04cf75cb18a38ab77396a2572538bea77e279a83","7.8E+18","No"
"0x328937546c37fbaeec90cbdca21cce0b40caa976","4E+17","No"
"0x36bf928d6058648f2ee12996cf148ed036cf18f4","1E+17","No"
"0x38b6490ac993ecc52389b056809db2e998bee8a9","1.1E+17","No"
"0x91a14c8bb15dbb07397855dfa9b5565b0e209ada","8.532E+18","No"
"0x9563b54ae8a926dbbd90156d5029cdad544fa474","6E+15","No"
"0x984f39758f14934f84a94d660747513044385746","2.6E+18","No"
"0x9a772e93e04714e3197c5584375ed50e672f0e8a","8.6E+16","No"
"0xb760c246db7eee48169c729d0394a7773be6a376","5.5E+18","No"
"0xc7e318811aac4e3975bf49d6a7c6fbc82d2305a7","1.7E+18","No"
"0xe1b8a4d858aa371c6e307e3a57c0a4c486a13f59","2.65E+18","No"
"0xe489ca511ad4c0102bf340ad8608a6a3b0046d42","3E+16","No"
